part_of_collection,budget,popularity,production_companies,release_month,release_year,revenue,runtime,spoken_languages,vote_average,vote_count,animation department,art department,camera and electrical department,cast,casting department,costume department,distributors,editorial department,music department,rating,visual effects,votes,genre,overview_length,tagline_length,plot_length,plot_outline_length,mpaa_rating_text_length,id,mpaa_rating_NR,mpaa_rating_PG,mpaa_rating_PG-13,mpaa_rating_R,overview_cluster_0,overview_cluster_1,overview_cluster_2,overview_cluster_3,overview_cluster_4,overview_cluster_5,overview_cluster_6,tagline_cluster_0,tagline_cluster_1,tagline_cluster_2,tagline_cluster_3,tagline_cluster_4,plot_cluster_0,plot_cluster_1,plot_cluster_2,plot_cluster_3,plot_cluster_4,plot_cluster_5,plot_cluster_6,plot_cluster_7,plot_cluster_8,plot_cluster_9,plot outline_cluster_0,plot outline_cluster_1,plot outline_cluster_2,plot outline_cluster_3,plot outline_cluster_4,plot outline_cluster_5,plot outline_cluster_6,plot outline_cluster_7,plot outline_cluster_8,plot outline_cluster_9,mpaa_rating_text_cluster_0,mpaa_rating_text_cluster_1,mpaa_rating_text_cluster_2,mpaa_rating_text_cluster_3,mpaa_rating_text_cluster_4,mpaa_rating_text_cluster_5,mpaa_rating_text_cluster_6,mpaa_rating_text_cluster_7,mpaa_rating_text_cluster_8,mpaa_rating_text_cluster_9,poster_path,pp
False,0,0.209726,1,11,2003,0,84.0,1,6.1,5,0.0,5.0,5.0,37.0,2.0,1.0,4.0,2.0,0.0,5.2,3.0,492.0,Action,120,0,766,120,0,39474,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39474,poster_images/39474-Mermaids.jpg
True,0,0.155523,0,12,1998,0,90.0,2,4.9,6,0.0,1.0,2.0,39.0,2.0,2.0,4.0,3.0,1.0,7.6,1.0,716.0,Action,269,0,1658,107,0,33201,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33201,poster_images/33201-Jeremiah.jpg
False,11000000,0.396393,2,1,1970,2200000,124.0,1,5.9,13,0.0,3.0,8.0,27.0,0.0,2.0,19.0,0.0,4.0,6.9,0.0,2712.0,Drama,336,0,337,126,64,42345,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42345,poster_images/42345-The Molly Maguires.jpg
False,0,0.516571,3,6,2012,0,87.0,1,3.9,43,1.0,5.0,17.0,13.0,1.0,1.0,24.0,2.0,4.0,4.4,64.0,5729.0,Horror,185,0,237,237,36,114958,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,114958,poster_images/114958-Storage 24.jpg
False,0,0.298036,2,6,2015,0,94.0,2,6.1,11,0.0,14.0,23.0,33.0,5.0,4.0,3.0,10.0,1.0,5.7,3.0,751.0,Drama,74,0,74,74,62,345874,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,345874,poster_images/345874-Stealing Cars.jpg
False,0,0.321769,1,8,2010,0,93.0,1,6.2,46,0.0,9.0,24.0,68.0,2.0,4.0,7.0,6.0,1.0,6.9,0.0,7872.0,Drama - Thriller,564,15,564,180,43,80188,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80188,poster_images/80188-Boy Wonder.jpg
False,0,0.615415,1,11,1986,14302779,119.0,1,6.2,98,0.0,17.0,25.0,31.0,4.0,6.0,19.0,8.0,9.0,6.6,0.0,22545.0,Drama,258,16,273,139,0,11120,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11120,poster_images/11120-The Mosquito Coast.jpg
False,5000000,1.009264,3,7,2016,0,88.0,3,4.6,64,1.0,12.0,27.0,27.0,1.0,8.0,3.0,6.0,6.0,4.3,2.0,6774.0,Horror,149,17,438,149,71,290825,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,290825,poster_images/290825-Yoga Hosers.jpg
False,0,0.201407,0,12,2004,0,90.0,1,6.9,21,0.0,12.0,7.0,34.0,3.0,1.0,7.0,5.0,8.0,7.3,1.0,6325.0,Drama,367,43,543,115,37,15397,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15397,poster_images/15397-I Am David.jpg
False,0,0.309021,0,1,2009,0,142.0,1,6.9,33,0.0,10.0,13.0,21.0,0.0,4.0,9.0,10.0,1.0,7.7,7.0,6502.0,Drama,126,0,992,126,0,36597,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36597,poster_images/36597-Wuthering Heights.jpg
False,1400000,0.955419,1,10,1950,63463,138.0,2,7.9,269,0.0,1.0,11.0,43.0,0.0,7.0,22.0,1.0,4.0,8.3,1.0,88361.0,Drama,150,37,743,123,0,705,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705,poster_images/705-All About Eve.jpg
False,0,0.160803,1,6,1953,0,100.0,1,3.9,6,0.0,1.0,0.0,75.0,0.0,2.0,6.0,0.0,1.0,6.0,0.0,1316.0,Comedy - Romance,587,32,582,110,0,52365,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52365,poster_images/52365-Dream Wife.jpg
False,25000000,0.667232,4,4,1999,84565230,107.0,1,5.7,276,0.0,17.0,31.0,77.0,3.0,8.0,23.0,7.0,18.0,6.0,6.0,70683.0,Drama - Romance,422,20,650,76,42,11355,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11355,poster_images/11355-Never Been Kissed.jpg
False,0,0.184571,1,10,2016,0,87.0,1,6.6,9,0.0,16.0,56.0,43.0,5.0,8.0,2.0,5.0,5.0,6.1,2.0,523.0,Drama,239,0,451,451,61,397704,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397704,poster_images/397704-The Lennon Report.jpg
False,25000000,0.391069,3,4,1999,4152230,92.0,1,6.0,149,0.0,17.0,25.0,36.0,1.0,4.0,16.0,8.0,5.0,6.2,24.0,34580.0,Horror,286,47,365,71,73,6552,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6552,poster_images/6552-Idle Hands.jpg
False,1500000,0.167273,0,1,2005,0,0.0,1,3.5,1,0.0,3.0,11.0,33.0,0.0,1.0,6.0,2.0,2.0,4.3,0.0,450.0,Comedy,72,40,71,71,61,51820,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51820,poster_images/51820-The Salon.jpg
False,30000000,0.770887,4,4,1996,57400547,95.0,1,5.2,98,0.0,13.0,28.0,55.0,6.0,18.0,30.0,11.0,4.0,5.5,2.0,19721.0,Action,312,15,1022,110,42,9103,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9103,poster_images/9103-The Quest.jpg
True,10500000,0.355298,1,6,1988,14144000,98.0,1,4.4,103,0.0,10.0,11.0,44.0,3.0,1.0,18.0,2.0,11.0,4.6,1.0,13788.0,Horror,342,15,342,138,0,10306,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10306,poster_images/10306-Poltergeist III.jpg
