part_of_collection,budget,genres,id,imdb_id,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,tagline,title,vote_average,vote_count
FALSE,2840000,"[{u'id': 18, u'name': u'Drama'}]",118628,2181931,"[u'English Vinglish is the story of a woman who does not know English and is made to feel insecure by her family and society at large.Circumstances make her determined to overcome this insecurity, master the language, and teach the world a lesson on the way to becoming a self assured and confident woman.']",0.204872,/2pkeg4ew8HeIcsN77QdOwgxe6k.jpg,"[{u'name': u'Eros International', u'id': 3653}]","[{u'iso_3166_1': u'IN', u'name': u'India'}]",9/14/2012,11620000,133,"[{u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'de', u'name': u'Deutsch'}, {u'iso_639_1': u'hi', u'name': u'\u0939\u093f\u0928\u094d\u0926\u0940'}, {u'iso_639_1': u'ta', u'name': u'\u0ba4\u0bae\u0bbf\u0bb4\u0bcd'}, {u'iso_639_1': u'te', u'name': u'\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41'}]",[u'Sridevi vs Angrezi'],[u'English Vinglish'],7.2,54
FALSE,886000,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 10402, u'name': u'Music'}, {u'id': 10749, u'name': u'Romance'}]",20325,28333,"[u""Lucky is tricked into missing his wedding to Margaret by the other members of Pop's magic and dance act, and has to make $25000 to be allowed to marry her. He and Pop go to New York where they run into Penny, a dancing instructor. She and Lucky form a successful dance partnership, but romance is blighted (till the end of the film at least!) by his old attachment to Margaret and hers for Ricardo, the band leader who won't play for them to dance together.""]",0.197957,/kvCtsd0YcaLzHGS1Tc6RQ6roQm1.jpg,"[{u'name': u'RKO Radio Pictures', u'id': 6}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",8/27/1936,2600000,103,"[{u'iso_639_1': u'en', u'name': u'English'}]",[u'A glorious songburst of gaiety and laughter!'],[u'Swing Time'],6.8,40
FALSE,0,"[{u'id': 80, u'name': u'Crime'}, {u'id': 18, u'name': u'Drama'}]",20330,49006,"[u""A newspaper publisher, wanting to prove a point about the insufficiency of circumstantial evidence, talks his possible son-in-law Tom into a hoax in an attempt to expose ineptitude of the city's hard-line district attorney. The plan is to have Tom plant clues leading to his arrest for killing a female nightclub dancer. Once Tom is found guilty, he is to reveal the setup and humiliate the DA.""]",0.154297,/7gG8hCtlDD0R3pUYj5oo7F94IUv.jpg,"[{u'name': u'Bert E. Friedlob Productions', u'id': 3754}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",9/5/1956,0,80,"[{u'iso_639_1': u'en', u'name': u'English'}]",[u'Put them all together they spell M-U-R-D-E-R !'],[u'Beyond a Reasonable Doubt'],6.7,18
FALSE,0,"[{u'id': 10770, u'name': u'TV Movie'}, {u'id': 28, u'name': u'Action'}, {u'id': 37, u'name': u'Western'}]",20333,110307,"[u'The story follows a band of former Confederate soldiers who were part of a cavalry unit. Their commander, Graff (Rourke) had once been a heroic and staunch supporter of the southern cause, but after losing his family he became cold hearted and ruthless. His second in command is Eustis (Mulroney), whom Graff has trained on the strategies of leadership and combat command.']",0.399025,/lBmjUkXAL9WT5G6CEZ15JS1Xlcd.jpg,"[{u'name': u'HBO Films', u'id': 7429}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",10/30/1993,0,93,"[{u'iso_639_1': u'en', u'name': u'English'}]",[u''],[u'The Last Outlaw'],4.7,9
FALSE,0,"[{u'id': 18, u'name': u'Drama'}]",348014,163109,"[u""A young man returns home from college during a holiday break to visit his widowed mother. Along the way he meets an attractive woman and they hit it off so well during his return trip that she accepts an invitation from him to stay at his Mother's house during his stay. But his Mother is not pleased with this surprise as she has rather strong feelings for her own son and desires to keep him all for herself.""]",1.407485,/vJkuYPCgdYBhh0csTNHC9rFS20V.jpg,"[{u'name': u'Norsk Film', u'id': 12984}]","[{u'iso_3166_1': u'NO', u'name': u'Norway'}]",11/21/1974,0,84,"[{u'iso_639_1': u'no', u'name': u'Norsk'}]",[u''],"[u""His Mother's House""]",3,1
FALSE,0,"[{u'id': 18, u'name': u'Drama'}]",53103,1272041,"[u'Nine-year-old Karo grows up with her parents in an Amsterdam commune in the Seventies. She leads a carefree existence in this utopia-for-adults. Everything is shared in the squat, but not everyone is able to honor these ideals. Karo gets confused because of the internal conflicts that start to divide the group. Karo slowly realizes that nothing can stay the same forever.']",0.153837,/cgikgeTun22RRdVrQdrVupc986w.jpg,"[{u'name': u'Eurimages', u'id': 850}, {u'name': u'Caviar Films', u'id': 2699}, {u'name': u'Radio T\xe9l\xe9vision Belge Francophone (RTBF)', u'id': 7466}, {u'name': u'Tarantula', u'id': 8471}, {u'name': u'Tax Shelter ING Invest de Tax Shelter Productions', u'id': 11933}, {u'name': u'CoBo Fonds', u'id': 12021}, {u'name': u'IDTV Film', u'id': 12022}, {u'name': u'Nederlandse Programma Stichting (NPS)', u'id': 12023}, {u'name': u'T\xe9l\xe9distributeurs Wallons', u'id': 12024}, {u'name': u'Vlaamse Radio en Televisie (VRT)', u'id': 12025}]","[{u'iso_3166_1': u'NL', u'name': u'Netherlands'}, {u'iso_3166_1': u'BE', u'name': u'Belgium'}]",10/28/2009,0,101,"[{u'iso_639_1': u'nl', u'name': u'Nederlands'}, {u'iso_639_1': u'fr', u'name': u'Fran\xe7ais'}]",[u'A young girl witnesses the moral dilemmas of free love when her parents join a squatter community in 1970s Amsterdam.'],[u'My Queen Karo'],6.6,8
TRUE,240000,"[{u'id': 27, u'name': u'Horror'}, {u'id': 878, u'name': u'Science Fiction'}]",8851,51418,"[u""A mysterious creature from another planet, resembling a giant blob of jelly, lands on earth. The people of a nearby small town refuse to listen to some teenagers who have witnessed the blob's destructive power. In the meantime, the blob just keeps on getting bigger.""]",0.889425,/3JgsBnpmFHFAbyWV99UasOvWLjC.jpg,"[{u'name': u'Fairview Production', u'id': 2547}, {u'name': u'Tonylyn Productions', u'id': 2548}, {u'name': u'Valley Forge Films', u'id': 14203}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",9/12/1958,0,86,"[{u'iso_639_1': u'en', u'name': u'English'}]",[u'It crawls. It creeps. It eats you alive!'],[u'The Blob'],6.2,119
FALSE,68,"[{u'id': 16, u'name': u'Animation'}, {u'id': 10751, u'name': u'Family'}, {u'id': 10402, u'name': u'Music'}]",20343,38718,"[u'In the tradition of Fantasia, Make Mine Music is a glorious collection of nine musically charged animated shorts featuring such fun-filled favorites as ""Peter And The Wolf"", narrated by the beloved voice behind Winnie The Pooh. In addition, you\'ll enjoy such classic cartoon hits as ""Casey At The Bat,"" ""The Whale Who Wanted To Sing At The Met"" and ""Johnnie Fedora And Alice Bluebonnet.""']",0.31131,/20Hs0MNWxwIAhSC7gfIN2bISrZI.jpg,"[{u'name': u'Walt Disney Pictures', u'id': 2}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",4/26/1946,0,75,"[{u'iso_639_1': u'en', u'name': u'English'}]",[u'Happy Comedy Musical'],[u'Make Mine Music'],4.9,25
FALSE,0,"[{u'id': 18, u'name': u'Drama'}, {u'id': 10749, u'name': u'Romance'}]",53113,120776,"[u""A career woman reassesses her parents' lives after she is forced to care for her cancer-stricken mother.""]",1.143816,/6pW6exNLIhh8Y8iGStDGFpE3L7.jpg,"[{u'name': u'Universal Pictures', u'id': 33}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",9/18/1998,0,127,"[{u'iso_639_1': u'en', u'name': u'English'}]",[u'Love What You Have.'],[u'One True Thing'],6.1,20
FALSE,65000000,"[{u'id': 18, u'name': u'Drama'}, {u'id': 10752, u'name': u'War'}]",227306,1809398,"[u'A chronicle of the life of Louis Zamperini, an Olympic runner who was taken prisoner by Japanese forces during World War II.']",2.007235,/1un8i8UtCjSCnY3OfdxtB5kDRvF.jpg,"[{u'name': u'Legendary Pictures', u'id': 923}, {u'name': u'3 Arts Entertainment', u'id': 36390}, {u'name': u'Jolie Pas', u'id': 39443}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",12/25/2014,163442937,137,"[{u'iso_639_1': u'it', u'name': u'Italiano'}, {u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'ja', u'name': u'\u65e5\u672c\u8a9e'}]",[u'Survival. Resilience. Redemption'],[u'Unbroken'],7.2,1146
